"","Year","Species","Count","District"
"1","2010","Domestic dog",32,"Pemba"
"2","2011","Domestic dog",26,"Pemba"
"3","2012","Domestic dog",16,"Pemba"
"4","2013","Domestic dog",15,"Pemba"
"5","2014","Domestic dog",2,"Pemba"
"6","2016","Domestic dog",26,"Pemba"
"7","2017","Domestic dog",61,"Pemba"
"8","2018","Domestic dog",8,"Pemba"
"9","2010","Livestock",5,"Pemba"
"10","2011","Livestock",3,"Pemba"
"11","2012","Livestock",0,"Pemba"
"12","2013","Livestock",0,"Pemba"
"13","2014","Livestock",0,"Pemba"
"14","2016","Livestock",1,"Pemba"
"15","2017","Livestock",4,"Pemba"
"16","2018","Livestock",0,"Pemba"
"25","2002","Cat",0,"Ngorongoro"
"26","2003","Cat",1,"Ngorongoro"
"27","2004","Cat",3,"Ngorongoro"
"28","2005","Cat",0,"Ngorongoro"
"29","2006","Cat",0,"Ngorongoro"
"30","2007","Cat",0,"Ngorongoro"
"31","2008","Cat",0,"Ngorongoro"
"32","2009","Cat",0,"Ngorongoro"
"33","2010","Cat",0,"Ngorongoro"
"34","2011","Cat",0,"Ngorongoro"
"35","2012","Cat",0,"Ngorongoro"
"36","2013","Cat",0,"Ngorongoro"
"37","2015","Cat",0,"Ngorongoro"
"38","2016","Cat",0,"Ngorongoro"
"39","2017","Cat",0,"Ngorongoro"
"40","2018","Cat",0,"Ngorongoro"
"41","2019","Cat",0,"Ngorongoro"
"42","2002","Domestic dog",12,"Ngorongoro"
"43","2003","Domestic dog",81,"Ngorongoro"
"44","2004","Domestic dog",43,"Ngorongoro"
"45","2005","Domestic dog",3,"Ngorongoro"
"46","2006","Domestic dog",5,"Ngorongoro"
"47","2007","Domestic dog",1,"Ngorongoro"
"48","2008","Domestic dog",3,"Ngorongoro"
"49","2009","Domestic dog",7,"Ngorongoro"
"50","2010","Domestic dog",11,"Ngorongoro"
"51","2011","Domestic dog",17,"Ngorongoro"
"52","2012","Domestic dog",3,"Ngorongoro"
"53","2013","Domestic dog",4,"Ngorongoro"
"54","2015","Domestic dog",32,"Ngorongoro"
"55","2016","Domestic dog",14,"Ngorongoro"
"56","2017","Domestic dog",13,"Ngorongoro"
"57","2018","Domestic dog",1,"Ngorongoro"
"58","2019","Domestic dog",2,"Ngorongoro"
"76","2002","Jackal",0,"Ngorongoro"
"77","2003","Jackal",0,"Ngorongoro"
"78","2004","Jackal",0,"Ngorongoro"
"79","2005","Jackal",0,"Ngorongoro"
"80","2006","Jackal",0,"Ngorongoro"
"81","2007","Jackal",0,"Ngorongoro"
"82","2008","Jackal",0,"Ngorongoro"
"83","2009","Jackal",0,"Ngorongoro"
"84","2010","Jackal",0,"Ngorongoro"
"85","2011","Jackal",0,"Ngorongoro"
"86","2012","Jackal",0,"Ngorongoro"
"87","2013","Jackal",0,"Ngorongoro"
"88","2015","Jackal",1,"Ngorongoro"
"89","2016","Jackal",0,"Ngorongoro"
"90","2017","Jackal",0,"Ngorongoro"
"91","2018","Jackal",0,"Ngorongoro"
"92","2019","Jackal",0,"Ngorongoro"
"93","2002","Livestock",2,"Ngorongoro"
"94","2003","Livestock",59,"Ngorongoro"
"95","2004","Livestock",12,"Ngorongoro"
"96","2005","Livestock",0,"Ngorongoro"
"97","2006","Livestock",3,"Ngorongoro"
"98","2007","Livestock",0,"Ngorongoro"
"99","2008","Livestock",0,"Ngorongoro"
"100","2009","Livestock",2,"Ngorongoro"
"101","2010","Livestock",2,"Ngorongoro"
"102","2011","Livestock",29,"Ngorongoro"
"103","2012","Livestock",1,"Ngorongoro"
"104","2013","Livestock",2,"Ngorongoro"
"105","2015","Livestock",0,"Ngorongoro"
"106","2016","Livestock",0,"Ngorongoro"
"107","2017","Livestock",0,"Ngorongoro"
"108","2018","Livestock",0,"Ngorongoro"
"109","2019","Livestock",0,"Ngorongoro"
"127","2002","Wildlife",4,"Ngorongoro"
"128","2003","Wildlife",7,"Ngorongoro"
"129","2004","Wildlife",8,"Ngorongoro"
"130","2005","Wildlife",8,"Ngorongoro"
"131","2006","Wildlife",0,"Ngorongoro"
"132","2007","Wildlife",0,"Ngorongoro"
"133","2008","Wildlife",2,"Ngorongoro"
"134","2009","Wildlife",0,"Ngorongoro"
"135","2010","Wildlife",3,"Ngorongoro"
"136","2011","Wildlife",2,"Ngorongoro"
"137","2012","Wildlife",0,"Ngorongoro"
"138","2013","Wildlife",0,"Ngorongoro"
"139","2015","Wildlife",0,"Ngorongoro"
"140","2016","Wildlife",1,"Ngorongoro"
"141","2017","Wildlife",0,"Ngorongoro"
"142","2018","Wildlife",1,"Ngorongoro"
"143","2019","Wildlife",0,"Ngorongoro"
"144","2002","Cat",0,"Serengeti"
"145","2003","Cat",8,"Serengeti"
"146","2004","Cat",11,"Serengeti"
"147","2005","Cat",4,"Serengeti"
"148","2006","Cat",5,"Serengeti"
"149","2007","Cat",5,"Serengeti"
"150","2008","Cat",2,"Serengeti"
"151","2009","Cat",6,"Serengeti"
"152","2010","Cat",4,"Serengeti"
"153","2011","Cat",11,"Serengeti"
"154","2012","Cat",5,"Serengeti"
"155","2013","Cat",3,"Serengeti"
"156","2014","Cat",3,"Serengeti"
"157","2015","Cat",3,"Serengeti"
"158","2016","Cat",3,"Serengeti"
"159","2017","Cat",0,"Serengeti"
"160","2018","Cat",0,"Serengeti"
"161","2019","Cat",1,"Serengeti"
"162","2002","Domestic dog",26,"Serengeti"
"163","2003","Domestic dog",249,"Serengeti"
"164","2004","Domestic dog",366,"Serengeti"
"165","2005","Domestic dog",183,"Serengeti"
"166","2006","Domestic dog",130,"Serengeti"
"167","2007","Domestic dog",240,"Serengeti"
"168","2008","Domestic dog",110,"Serengeti"
"169","2009","Domestic dog",78,"Serengeti"
"170","2010","Domestic dog",277,"Serengeti"
"171","2011","Domestic dog",529,"Serengeti"
"172","2012","Domestic dog",320,"Serengeti"
"173","2013","Domestic dog",167,"Serengeti"
"174","2014","Domestic dog",164,"Serengeti"
"175","2015","Domestic dog",160,"Serengeti"
"176","2016","Domestic dog",63,"Serengeti"
"177","2017","Domestic dog",35,"Serengeti"
"178","2018","Domestic dog",18,"Serengeti"
"179","2019","Domestic dog",10,"Serengeti"
"198","2002","Jackal",1,"Serengeti"
"199","2003","Jackal",11,"Serengeti"
"200","2004","Jackal",10,"Serengeti"
"201","2005","Jackal",10,"Serengeti"
"202","2006","Jackal",3,"Serengeti"
"203","2007","Jackal",3,"Serengeti"
"204","2008","Jackal",0,"Serengeti"
"205","2009","Jackal",2,"Serengeti"
"206","2010","Jackal",1,"Serengeti"
"207","2011","Jackal",5,"Serengeti"
"208","2012","Jackal",6,"Serengeti"
"209","2013","Jackal",1,"Serengeti"
"210","2014","Jackal",5,"Serengeti"
"211","2015","Jackal",3,"Serengeti"
"212","2016","Jackal",5,"Serengeti"
"213","2017","Jackal",1,"Serengeti"
"214","2018","Jackal",1,"Serengeti"
"215","2019","Jackal",0,"Serengeti"
"216","2002","Livestock",0,"Serengeti"
"217","2003","Livestock",23,"Serengeti"
"218","2004","Livestock",71,"Serengeti"
"219","2005","Livestock",11,"Serengeti"
"220","2006","Livestock",9,"Serengeti"
"221","2007","Livestock",29,"Serengeti"
"222","2008","Livestock",5,"Serengeti"
"223","2009","Livestock",4,"Serengeti"
"224","2010","Livestock",17,"Serengeti"
"225","2011","Livestock",61,"Serengeti"
"226","2012","Livestock",23,"Serengeti"
"227","2013","Livestock",15,"Serengeti"
"228","2014","Livestock",15,"Serengeti"
"229","2015","Livestock",16,"Serengeti"
"230","2016","Livestock",19,"Serengeti"
"231","2017","Livestock",3,"Serengeti"
"232","2018","Livestock",1,"Serengeti"
"233","2019","Livestock",0,"Serengeti"
"270","2002","Wildlife",5,"Serengeti"
"271","2003","Wildlife",8,"Serengeti"
"272","2004","Wildlife",12,"Serengeti"
"273","2005","Wildlife",10,"Serengeti"
"274","2006","Wildlife",10,"Serengeti"
"275","2007","Wildlife",0,"Serengeti"
"276","2008","Wildlife",4,"Serengeti"
"277","2009","Wildlife",9,"Serengeti"
"278","2010","Wildlife",2,"Serengeti"
"279","2011","Wildlife",4,"Serengeti"
"280","2012","Wildlife",6,"Serengeti"
"281","2013","Wildlife",3,"Serengeti"
"282","2014","Wildlife",4,"Serengeti"
"283","2015","Wildlife",3,"Serengeti"
"284","2016","Wildlife",0,"Serengeti"
"285","2017","Wildlife",1,"Serengeti"
"286","2018","Wildlife",0,"Serengeti"
"287","2019","Wildlife",0,"Serengeti"
"288","2011","Cat",0,"Kilwa"
"289","2012","Cat",0,"Kilwa"
"290","2013","Cat",0,"Kilwa"
"291","2014","Cat",0,"Kilwa"
"292","2015","Cat",0,"Kilwa"
"293","2016","Cat",0,"Kilwa"
"294","2017","Cat",0,"Kilwa"
"295","2018","Cat",0,"Kilwa"
"296","2019","Cat",0,"Kilwa"
"297","2011","Domestic dog",6,"Kilwa"
"298","2012","Domestic dog",8,"Kilwa"
"299","2013","Domestic dog",6,"Kilwa"
"300","2014","Domestic dog",2,"Kilwa"
"301","2015","Domestic dog",7,"Kilwa"
"302","2016","Domestic dog",3,"Kilwa"
"303","2017","Domestic dog",2,"Kilwa"
"304","2018","Domestic dog",9,"Kilwa"
"305","2019","Domestic dog",18,"Kilwa"
"306","2011","Jackal",1,"Kilwa"
"307","2012","Jackal",1,"Kilwa"
"308","2013","Jackal",1,"Kilwa"
"309","2014","Jackal",0,"Kilwa"
"310","2015","Jackal",0,"Kilwa"
"311","2016","Jackal",0,"Kilwa"
"312","2017","Jackal",0,"Kilwa"
"313","2018","Jackal",0,"Kilwa"
"314","2019","Jackal",0,"Kilwa"
"315","2011","Wildlife",0,"Kilwa"
"316","2012","Wildlife",0,"Kilwa"
"317","2013","Wildlife",0,"Kilwa"
"318","2014","Wildlife",0,"Kilwa"
"319","2015","Wildlife",0,"Kilwa"
"320","2016","Wildlife",0,"Kilwa"
"321","2017","Wildlife",0,"Kilwa"
"322","2018","Wildlife",0,"Kilwa"
"323","2019","Wildlife",0,"Kilwa"
"324","2011","Cat",0,"Lindi Rural"
"325","2012","Cat",0,"Lindi Rural"
"326","2013","Cat",0,"Lindi Rural"
"327","2014","Cat",0,"Lindi Rural"
"328","2015","Cat",0,"Lindi Rural"
"329","2016","Cat",0,"Lindi Rural"
"330","2017","Cat",0,"Lindi Rural"
"331","2018","Cat",0,"Lindi Rural"
"332","2019","Cat",0,"Lindi Rural"
"333","2011","Domestic dog",4,"Lindi Rural"
"334","2012","Domestic dog",8,"Lindi Rural"
"335","2013","Domestic dog",2,"Lindi Rural"
"336","2014","Domestic dog",2,"Lindi Rural"
"337","2015","Domestic dog",2,"Lindi Rural"
"338","2016","Domestic dog",5,"Lindi Rural"
"339","2017","Domestic dog",0,"Lindi Rural"
"340","2018","Domestic dog",0,"Lindi Rural"
"341","2019","Domestic dog",0,"Lindi Rural"
"342","2011","Jackal",4,"Lindi Rural"
"343","2012","Jackal",1,"Lindi Rural"
"344","2013","Jackal",0,"Lindi Rural"
"345","2014","Jackal",0,"Lindi Rural"
"346","2015","Jackal",0,"Lindi Rural"
"347","2016","Jackal",0,"Lindi Rural"
"348","2017","Jackal",1,"Lindi Rural"
"349","2018","Jackal",0,"Lindi Rural"
"350","2019","Jackal",0,"Lindi Rural"
"351","2011","Wildlife",0,"Lindi Rural"
"352","2012","Wildlife",0,"Lindi Rural"
"353","2013","Wildlife",0,"Lindi Rural"
"354","2014","Wildlife",0,"Lindi Rural"
"355","2015","Wildlife",0,"Lindi Rural"
"356","2016","Wildlife",0,"Lindi Rural"
"357","2017","Wildlife",0,"Lindi Rural"
"358","2018","Wildlife",0,"Lindi Rural"
"359","2019","Wildlife",0,"Lindi Rural"
"360","2011","Cat",0,"Lindi Urban"
"361","2012","Cat",0,"Lindi Urban"
"362","2013","Cat",0,"Lindi Urban"
"363","2014","Cat",0,"Lindi Urban"
"364","2015","Cat",1,"Lindi Urban"
"365","2016","Cat",0,"Lindi Urban"
"366","2017","Cat",0,"Lindi Urban"
"367","2018","Cat",0,"Lindi Urban"
"368","2019","Cat",0,"Lindi Urban"
"369","2011","Domestic dog",4,"Lindi Urban"
"370","2012","Domestic dog",2,"Lindi Urban"
"371","2013","Domestic dog",0,"Lindi Urban"
"372","2014","Domestic dog",1,"Lindi Urban"
"373","2015","Domestic dog",1,"Lindi Urban"
"374","2016","Domestic dog",0,"Lindi Urban"
"375","2017","Domestic dog",0,"Lindi Urban"
"376","2018","Domestic dog",0,"Lindi Urban"
"377","2019","Domestic dog",2,"Lindi Urban"
"378","2011","Jackal",0,"Lindi Urban"
"379","2012","Jackal",0,"Lindi Urban"
"380","2013","Jackal",0,"Lindi Urban"
"381","2014","Jackal",0,"Lindi Urban"
"382","2015","Jackal",0,"Lindi Urban"
"383","2016","Jackal",0,"Lindi Urban"
"384","2017","Jackal",0,"Lindi Urban"
"385","2018","Jackal",0,"Lindi Urban"
"386","2019","Jackal",0,"Lindi Urban"
"387","2011","Wildlife",0,"Lindi Urban"
"388","2012","Wildlife",0,"Lindi Urban"
"389","2013","Wildlife",0,"Lindi Urban"
"390","2014","Wildlife",0,"Lindi Urban"
"391","2015","Wildlife",0,"Lindi Urban"
"392","2016","Wildlife",0,"Lindi Urban"
"393","2017","Wildlife",0,"Lindi Urban"
"394","2018","Wildlife",0,"Lindi Urban"
"395","2019","Wildlife",0,"Lindi Urban"
"396","2011","Cat",0,"Liwale"
"397","2012","Cat",0,"Liwale"
"398","2013","Cat",1,"Liwale"
"399","2014","Cat",0,"Liwale"
"400","2015","Cat",0,"Liwale"
"401","2016","Cat",0,"Liwale"
"402","2017","Cat",0,"Liwale"
"403","2018","Cat",0,"Liwale"
"404","2019","Cat",0,"Liwale"
"405","2011","Domestic dog",9,"Liwale"
"406","2012","Domestic dog",3,"Liwale"
"407","2013","Domestic dog",3,"Liwale"
"408","2014","Domestic dog",1,"Liwale"
"409","2015","Domestic dog",4,"Liwale"
"410","2016","Domestic dog",1,"Liwale"
"411","2017","Domestic dog",0,"Liwale"
"412","2018","Domestic dog",0,"Liwale"
"413","2019","Domestic dog",0,"Liwale"
"414","2011","Jackal",3,"Liwale"
"415","2012","Jackal",0,"Liwale"
"416","2013","Jackal",1,"Liwale"
"417","2014","Jackal",0,"Liwale"
"418","2015","Jackal",0,"Liwale"
"419","2016","Jackal",1,"Liwale"
"420","2017","Jackal",1,"Liwale"
"421","2018","Jackal",0,"Liwale"
"422","2019","Jackal",0,"Liwale"
"423","2011","Wildlife",1,"Liwale"
"424","2012","Wildlife",0,"Liwale"
"425","2013","Wildlife",0,"Liwale"
"426","2014","Wildlife",0,"Liwale"
"427","2015","Wildlife",0,"Liwale"
"428","2016","Wildlife",1,"Liwale"
"429","2017","Wildlife",0,"Liwale"
"430","2018","Wildlife",0,"Liwale"
"431","2019","Wildlife",0,"Liwale"
"432","2011","Cat",0,"Masasi"
"433","2012","Cat",0,"Masasi"
