"Year","Grp_species","Longitude","Latitude"
2016,"Domestic Dog",39.1169342141432,-10.9524754074531
2014,"Domestic Dog",39.0246296208601,-8.59093828023479
2012,"Domestic Dog",38.3867072336977,-10.482936287704
2013,"Wildlife",38.9242516495279,-10.6875228405643
2013,"Wildlife",38.0371028294335,-8.35077374818894
2014,"Domestic Dog",38.0955445513815,-9.35961002826527
2013,"Domestic Dog",39.0253770151154,-8.37229928321837
2014,"Wildlife",39.3862405949313,-9.02110023148139
2013,"Domestic Dog",38.4707204888153,-8.64884388069083
2015,"Domestic Dog",38.3004406386999,-9.19520326570854
2011,"Domestic Dog",38.2230974276491,-10.3559300075696
2011,"Domestic Dog",39.4896117190906,-9.64594895113353
2011,"Domestic Dog",39.2084574829857,-9.40466897184597
2012,"Domestic Dog",38.113234442653,-9.38302451735058
2011,"Wildlife",38.2454189686877,-9.20097513252066
2011,"Wildlife",37.8032556625477,-9.18710534514579
2012,"Domestic Dog",38.6950079806397,-10.7995023355553
2015,"Wildlife",37.801395448147,-8.70501234292168
2012,"Wildlife",38.5379429471976,-11.2057505251908
2012,"Domestic Dog",38.931839799694,-10.9283962624924
2012,"Wildlife",38.4013346886104,-10.4812797260975
2014,"Wildlife",38.3049837960118,-10.842632741519
2011,"Wildlife",39.4322353516692,-10.6430975642238
2013,"Wildlife",38.9157512557858,-10.5706474414413
2013,"Wildlife",38.1859359560384,-10.6680937095522
2012,"Wildlife",37.3990449563633,-9.47204037223579
2012,"Wildlife",38.4794428565036,-8.35271612110489
2013,"Wildlife",39.6259978221932,-10.0716944023109
2013,"Wildlife",39.4500358922358,-10.3292605781807
2013,"Wildlife",37.9070109893262,-9.26667371543635
2012,"Domestic Dog",37.7863923803772,-9.41620882834067
2011,"Domestic Dog",39.4632754814003,-10.53689197523
2012,"Domestic Dog",39.0492397210531,-10.8504739998402
2012,"Domestic Dog",38.5692729820291,-10.7077147834204
2012,"Domestic Dog",38.5680291578082,-8.84164187680629
2012,"Domestic Dog",38.0056743941497,-9.33901524532265
2012,"Domestic Dog",37.8232318220928,-8.94264822294174
2012,"Domestic Dog",38.2296892503348,-8.40038397686285
2012,"Domestic Dog",38.1371930774566,-10.2011539113998
2012,"Domestic Dog",37.9022108411508,-10.1489947946482
2014,"Wildlife",39.4342688852378,-9.73731465404918
2013,"Wildlife",37.4587851247596,-10.1358950954298
2012,"Wildlife",38.6592402514571,-10.9828571291214
2013,"Wildlife",38.8396622607778,-11.1147227646664
2013,"Wildlife",38.5741258154675,-8.6844817151934
2013,"Wildlife",38.3697656885087,-9.85261311634831
2014,"Wildlife",38.6219495445209,-9.68203597437975
2015,"Wildlife",37.5795307655914,-9.02652465863894
2011,"Wildlife",39.078953616476,-8.516750058465
2014,"Wildlife",37.5811398200075,-8.68762903310036
2012,"Wildlife",37.5962968731099,-9.09379492826799
2012,"Wildlife",37.9943047408483,-8.45977795930357
2013,"Wildlife",37.876740020133,-8.58489900265505
2013,"Wildlife",37.5756503823428,-9.30048736131115
2014,"Wildlife",38.3763066371512,-9.63278758948892
2013,"Wildlife",37.9300807182258,-8.70017803386513
2014,"Wildlife",39.9139583610598,-10.4814546383571
2014,"Wildlife",38.4311365643504,-8.77569026371932
2014,"Wildlife",37.9056440163113,-9.43531057966443
2012,"Wildlife",37.9289782016312,-8.93711402627899
2012,"Wildlife",37.6313878364517,-10.1940560727834
2013,"Wildlife",38.4776773884711,-9.35282034435758
2013,"Wildlife",37.5522631561778,-8.82076289491424
2012,"Wildlife",38.2738798355618,-11.0845199865637
2012,"Wildlife",38.8583941788969,-8.48759242886773
2013,"Domestic Dog",39.975761386466,-10.7612490834449
2012,"Domestic Dog",39.4369847815248,-10.4103855729665
2011,"Wildlife",39.2119258774205,-10.9841843254105
2012,"Wildlife",38.7850695226043,-9.86749602168585
2014,"Wildlife",37.7020931457181,-10.469899565468
2012,"Wildlife",38.0476474175426,-9.86029953373652
2012,"Wildlife",39.4526209726477,-10.3545721886112
2013,"Wildlife",39.291756821853,-9.61192216294402
2012,"Wildlife",38.1675933943958,-8.81178208671881
2012,"Wildlife",39.1889026956223,-10.5955833038162
2012,"Wildlife",39.3730862013854,-9.517184896675
2011,"Domestic Dog",39.7637921624793,-10.229606961561
2015,"Wildlife",37.168951285741,-9.87517847674181
2012,"Wildlife",37.9398378812062,-8.09112769113797
2013,"Wildlife",39.695192770622,-9.72084900187368
2012,"Domestic Dog",38.2665855235496,-9.53461288193434
2012,"Wildlife",37.8666810537951,-8.48675702998577
2012,"Wildlife",38.2002625877343,-10.8575562909886
2011,"Wildlife",38.0856201707542,-8.4791651032263
2013,"Wildlife",38.1949568768814,-10.1323387403584
2012,"Wildlife",36.9802452156113,-10.1034358717648
2015,"Domestic Dog",38.0164325687998,-9.84519662848244
2012,"Domestic Dog",38.5044269615234,-9.20032823208075
2011,"Domestic Dog",38.1242907224411,-9.26797273964867
2011,"Domestic Dog",37.9329223764598,-9.22304894381213
2012,"Wildlife",38.2357705147071,-10.5102483030293
2014,"Domestic Dog",37.9125776732281,-10.4509664887532
2011,"Wildlife",39.3087583254978,-9.75492183604783
2013,"Domestic Dog",38.0666072720604,-10.6240669068616
2011,"Wildlife",38.997395657666,-10.4268431414324
2011,"Wildlife",39.0845450095805,-9.10604613984365
2011,"Wildlife",38.3003205194314,-8.91739260043614
2013,"Domestic Dog",38.4884791156724,-9.18295682710816
2011,"Domestic Dog",37.1572791270783,-10.0311223062229
2014,"Wildlife",38.7049587651053,-10.9754651415007
2013,"Wildlife",37.5381115216305,-9.56322565717313
2011,"Wildlife",38.2236791623229,-10.9483002753314
2012,"Wildlife",38.0500121528572,-8.10210662160671
2013,"Wildlife",39.3360224365506,-11.0543330456181
2011,"Domestic Dog",38.6354764647717,-9.84739998057779
2011,"Domestic Dog",39.1078147462848,-8.87416263306466
2012,"Domestic Dog",37.5099442830585,-9.83687862929206
2011,"Wildlife",38.7538664413777,-10.8186615532741
2011,"Domestic Dog",39.1971830057489,-10.9120798749347
2016,"Wildlife",38.1458731517038,-10.395620739125
2011,"Wildlife",39.8403466060167,-10.1596224310536
2011,"Wildlife",37.8001230949232,-10.3524504388131
2011,"Wildlife",36.9848815637243,-10.2297881179629
2013,"Wildlife",39.8250001925842,-10.5778607824888
2013,"Wildlife",37.8533030674472,-9.01233936477778
2013,"Wildlife",38.2212559533365,-8.91588058483965
2011,"Wildlife",39.3118245991444,-10.551521739227
2011,"Wildlife",37.2002414729027,-10.1750994030296
2012,"Domestic Dog",37.9082721912648,-8.18071415270113
2011,"Wildlife",38.9330842851142,-10.8993974945851
2011,"Wildlife",37.9212959546378,-9.55762549575255
2011,"Wildlife",37.7526411642929,-8.86038700930237
2016,"Wildlife",39.5436806008496,-10.3606245809183
2011,"Wildlife",38.04627587609,-10.3846245757974
2014,"Wildlife",38.2995540936273,-8.72497520162834
2011,"Domestic Dog",38.1359562974237,-11.0955787211464
2012,"Domestic Dog",38.6004844956292,-10.8671935593692
2011,"Domestic Dog",38.9835363989727,-9.64321533950003
2014,"Domestic Dog",38.3663704407084,-10.0214106185402
2012,"Wildlife",39.4057315574049,-10.5307216672262
2014,"Domestic Dog",38.8569052429166,-9.56621168957559
2014,"Wildlife",37.9747567986469,-9.41863062398286
2011,"Wildlife",38.5858802601386,-10.9799040612459
2011,"Wildlife",38.6666454467656,-9.17670399174902
2011,"Domestic Dog",39.2058082054471,-10.4157796168338
2012,"Wildlife",37.6393524705258,-10.4518746929543
2011,"Wildlife",38.1628150033429,-10.4960430830919
2011,"Wildlife",39.0843867048008,-10.5606013606692
2015,"Wildlife",38.0620424384023,-9.85295487825586
2012,"Domestic Dog",38.8445641645342,-9.01866725643079
2011,"Wildlife",39.553604850736,-9.91443401227464
2014,"Domestic Dog",37.9365514706484,-10.5353721428925
2011,"Wildlife",38.0258797725204,-10.4592407765135
2014,"Domestic Dog",39.1596082529045,-10.3097325389817
2013,"Wildlife",38.2538131824759,-8.57280014490441
2016,"Wildlife",39.4749978487431,-8.81640584281191
2012,"Wildlife",38.023111854668,-9.84182936340348
2011,"Wildlife",39.5424384521112,-10.6571361771382
2011,"Wildlife",37.5019426301487,-10.083715542197
2014,"Wildlife",38.1961754239677,-8.71174399728492
2015,"Wildlife",39.5343341226047,-10.7479158127337
2011,"Wildlife",37.9405876770973,-9.29196616255784
2011,"Domestic Dog",37.009000714245,-10.1327962765343
2014,"Wildlife",37.9791297454273,-9.01548955036489
2011,"Wildlife",38.0962536110643,-10.1361970084305
2015,"Domestic Dog",38.3857476335923,-10.1705255603132
2011,"Wildlife",39.3220401173342,-10.6011995450188
2011,"Wildlife",38.7938355244527,-10.165256806641
2011,"Wildlife",37.5571524704989,-8.98325816770118
2012,"Wildlife",37.689387748996,-8.08793141250186
2012,"Domestic Dog",37.3822787547447,-9.67912698795755
2011,"Wildlife",38.5091270087817,-9.48448919083008
2015,"Wildlife",38.3466357121909,-9.25386974268973
2014,"Domestic Dog",37.5190495492877,-8.80749611234901
2014,"Domestic Dog",38.52185888762,-10.7586021732885
2012,"Wildlife",38.7924488803411,-8.70866278451742
2012,"Wildlife",38.0334287262231,-9.25088920221122
2012,"Wildlife",39.5051852411735,-8.86733432635794
2011,"Wildlife",38.1503392193347,-10.8948970747047
2013,"Wildlife",39.500404868188,-10.3404921282247
2012,"Wildlife",39.582907253661,-10.7106719442724
2011,"Wildlife",38.9125302140265,-10.6553796070125
2012,"Wildlife",37.0940888496567,-10.1723734636983
2012,"Domestic Dog",37.7695729655354,-9.14795858914369
2011,"Domestic Dog",38.5796516757228,-9.75873284582232
2012,"Wildlife",38.9786787730881,-9.60897525157365
2011,"Domestic Dog",39.5161050124434,-10.2845185173131
2014,"Domestic Dog",37.9445979518743,-9.52607100894371
2012,"Domestic Dog",38.3851191536239,-9.76197334872776
2011,"Domestic Dog",37.0657109025097,-10.1642408177523
2011,"Domestic Dog",37.8641023080726,-8.14367605530202
2015,"Domestic Dog",38.1827085246285,-10.8466995103862
2014,"Domestic Dog",38.3355646078805,-9.7021887337218
2011,"Domestic Dog",38.1528976310955,-9.16710239571894
2011,"Wildlife",39.1816291880726,-9.73642458342142
2011,"Domestic Dog",39.4311399950141,-10.4255779199795
2014,"Wildlife",38.7202039467533,-8.64599908518697
2011,"Domestic Dog",37.1272792945839,-9.98398382389482
2014,"Domestic Dog",38.711236436494,-8.69691547968412
2012,"Domestic Dog",39.4587557042304,-9.8841788977921
2014,"Wildlife",37.8369184594585,-8.48864533000933
2011,"Wildlife",37.3897938223975,-9.45062156943742
2014,"Wildlife",39.2574375755755,-8.93270608867748
2011,"Wildlife",39.2769514776692,-9.04133300916148
2011,"Wildlife",38.1478693516591,-11.2381131833378
2016,"Wildlife",38.0122294719726,-9.67596531623224
2011,"Domestic Dog",38.1840334473638,-11.0806985771885
2011,"Wildlife",39.0191146520736,-9.17444745205812
2013,"Wildlife",38.4484188778572,-8.86734846514085
2011,"Domestic Dog",37.3490282505996,-9.50255046600327
2016,"Wildlife",38.0512309406067,-11.1161819326668
2016,"Domestic Dog",38.2645126327979,-8.28680625816254
2011,"Wildlife",39.2847358683027,-10.5281425378628
2011,"Wildlife",38.6929712351746,-9.46703239731368
2011,"Wildlife",37.9179634633157,-8.12990394189183
2016,"Wildlife",37.7041670515856,-9.49689945235314
2011,"Wildlife",38.0992909043603,-8.11903765591152
2011,"Wildlife",39.6328212478527,-10.6630921735215
2011,"Domestic Dog",40.3180341067985,-10.5068607272446
2011,"Domestic Dog",38.6390285958563,-9.22750923807979
2014,"Wildlife",37.6765105586945,-9.14931349822626
2014,"Domestic Dog",38.3065374612427,-9.7427726705536
2014,"Wildlife",38.6103864904117,-8.74852555984084
2013,"Wildlife",39.8198716864862,-10.5756294011327
2011,"Wildlife",38.7848986250583,-8.94971395717294
2011,"Domestic Dog",37.9012706081904,-10.3614012337415
2011,"Wildlife",39.3049576425851,-10.8981023832063
2012,"Domestic Dog",37.9498037258608,-8.66690383562759
2014,"Domestic Dog",40.0419338203201,-10.3116267163701
2011,"Domestic Dog",39.2463208351866,-9.36224088622902
2011,"Domestic Dog",38.6172978589148,-8.60204455955865
2011,"Wildlife",37.4664039432498,-8.58210899006626
2011,"Domestic Dog",38.6016848122671,-8.72478153340977
2012,"Domestic Dog",37.6518262259677,-9.99818932702988
2011,"Domestic Dog",38.3370207770198,-8.24322394102541
2011,"Wildlife",38.6099546231477,-9.40529174693264
2012,"Domestic Dog",37.7820175024618,-8.44896705428028
2012,"Domestic Dog",38.1997648803382,-10.5530886059007
2012,"Domestic Dog",38.9459541880662,-9.42611233574863
2012,"Domestic Dog",38.7189332490262,-10.8740839033941
2012,"Domestic Dog",40.4180729561493,-10.3314154028636
2012,"Domestic Dog",38.6553388805421,-9.42972094280849
2011,"Domestic Dog",37.2844780127068,-9.571145977939
2012,"Domestic Dog",39.7274693081491,-10.9190902330776
2014,"Domestic Dog",39.4470717164283,-9.28222210676727
2012,"Domestic Dog",38.1708389271787,-11.2388021487667
2012,"Domestic Dog",38.2777072637381,-9.57698019529068
2012,"Domestic Dog",39.2228203099327,-8.46899300763026
2012,"Domestic Dog",38.702957948413,-9.90568049166847
2013,"Domestic Dog",39.8565434117408,-10.4267497478901
2012,"Domestic Dog",39.9233593516097,-10.7684894986712
2013,"Domestic Dog",39.8495818403868,-10.0672922114301
2011,"Domestic Dog",38.9323737731245,-10.7557831357843
2015,"Domestic Dog",38.348688810265,-8.41903067181559
2012,"Domestic Dog",39.3760657321736,-8.74398172957996
2011,"Domestic Dog",38.6081212655983,-9.33103629940474
2012,"Domestic Dog",39.0073659275263,-8.61163917383435
2011,"Wildlife",39.0034781495041,-10.2899201133873
2011,"Domestic Dog",37.5452742932797,-9.27225125269449
2012,"Domestic Dog",37.7283276802903,-9.64853011968201
2011,"Domestic Dog",38.0216554931646,-10.4513658485115
2012,"Domestic Dog",38.9480001703363,-8.59359700516841
2011,"Domestic Dog",38.6923217708709,-9.2024688936371
2012,"Domestic Dog",38.055911496641,-9.04585307435491
2012,"Domestic Dog",39.3051714922733,-10.1733794189522
2012,"Domestic Dog",39.7220210846882,-10.0306753936091
2015,"Wildlife",39.2041743502264,-10.8710290361193
2011,"Domestic Dog",39.3407651578143,-8.8156907931787
2012,"Domestic Dog",37.5998989497273,-9.55382279851778
2011,"Domestic Dog",39.0873285222441,-10.8055244062427
2012,"Domestic Dog",37.6697098170024,-8.95103905666362
2014,"Wildlife",37.4812188931445,-10.0148074628631
2014,"Wildlife",37.7993561369952,-10.0852966166273
2011,"Wildlife",39.5047004363248,-9.7087808901334
2016,"Wildlife",38.376547914121,-9.07139418521111
2015,"Wildlife",38.7657520275271,-10.2342804054465
2011,"Wildlife",38.4689628743987,-9.74357627178019
2014,"Wildlife",40.1094928841292,-10.2452111793375
2012,"Domestic Dog",37.7351419840636,-8.4970587156742
2014,"Wildlife",37.3335191005196,-10.3698239584361
2015,"Wildlife",37.7742649251765,-10.3062920060545
