"","District","Numdogs","Numdogs.lwr","Numdogs.upr"
"1","mjini",1219.59139440884,344.260646786969,4320.57274974129
"2","kinondoni",10615.4598693095,2874.62016883058,39201.001043127
"3","temeke",10382.7618269397,2987.62342441031,36082.7747815081
"4","ilala",10378.3926836393,2944.35040326055,36582.2745066411
"5","mtwara rural",2703.03967551896,852.523791595432,8570.34555452845
"6","lindi rural",2261.14870367732,711.902269498374,7181.87548937616
"7","mtwara urban",1351.31412234049,440.739021417813,4143.15449392846
"8","magharibi",5492.14742219026,1710.69686921201,17632.395224389
"9","tunduma",1475.01002023325,434.074269153304,5012.17122137247
"10","mkoani",1365.82661349111,445.407866866473,4188.2563755432
"11","lindi urban",1345.29555533075,437.525837751505,4136.48743693299
"12","kusini",649.083444476035,211.771912210885,1989.44852267911
"13","mafia",768.324733093916,251.169564271205,2350.29629165748
"14","kaskazini a",1848.96053128872,604.364975753172,5656.60682438304
"15","tanga urban",4786.64360027568,1542.84126440333,14850.4953067358
"16","moshi urban",3358.08320347002,970.058983133852,11624.7805520002
"17","chakechake",1773.13068109102,577.939083470857,5440.00657187745
"18","kilwa",3660.57636876061,1181.00079594037,11346.1560716892
"19","mkuranga",4670.26966837063,1507.42088250248,14469.3622255607
"20","wete",2240.99677576746,728.053822721664,6897.93308168657
"21","nyamagana ",8328.83666283299,2507.80261422947,27661.4753340406
"22","kigoma-ujiji",4911.45585242964,1548.85087642047,15574.3841822361
"23","ukerewe",8535.52010394665,2738.36210969655,26605.3577015608
"24","liwale",2235.73763714421,717.42767902266,6967.28454769488
"25","kasulu urban",4998.671567054,1604.05159342794,15577.2529622169
"26","masasi urban",2589.45390880913,831.41928273376,8064.84969148119
"27","newala",5080.33066257505,1631.18751067904,15822.6810051752
"28","masasi",6166.75317269195,1980.17706618271,19204.769786682
"29","musoma municipal",3431.23110749368,1094.07990624396,10760.9570798634
"30","ruangwa",3287.5834934529,1055.76874873392,10237.284669948
"31","kibondo",6703.70883602396,2152.87961073572,20874.2337165932
"32","kigoma rural",5233.97541651755,1680.93121089428,16297.2157832299
"33","kakonko",3994.35787928902,1282.85434384499,12437.0275895999
"34","nachingwea",4526.39857570179,1453.74640940117,14093.4374342185
"35","arusha urban",11030.2253814754,3151.94175673157,38600.2919331566
"36","makete",2404.05448618061,772.169066379016,7484.73129029527
"37","nanyumbu",3882.88128405165,1247.16213068252,12088.8589343133
"38","buhigwe",6815.59402779782,2189.1414381818,21219.4247212892
"39","bukoba urban",3616.47227431353,1106.22577544051,11822.9677894374
"40","njombe",2210.54376605535,710.011989651809,6882.283416147
"41","micheweni",2833.5149788626,906.454633646218,8857.3733725016
"42","kaskazini b",2409.41009262915,767.998999979684,7558.93822077471
"43","ilemela",9931.78527768515,3128.50184002549,31529.5831186853
"44","morogoro urban",10133.3396019866,3239.61054920479,31696.5789342781
"45","rufiji",6910.07335752426,2171.70850381709,21986.8889965853
"46","kati",2489.89774637193,784.116674653201,7906.4646726585
"47","iringa urban",5162.723010461,1626.70234380655,16385.1174028389
"48","mbinga",11785.0446576259,3855.80427446593,36020.3131943136
"49","mufindi",8889.04655095647,2907.8250785818,27173.2812152539
"50","tandahimba",7628.84292459897,2495.50628412039,23321.6180374066
"51","mafinga ",1865.36054773762,606.498696436676,5737.14336650565
"52","geita",28747.6973884556,9453.68245237153,87418.8560174136
"53","makambako ",3398.63033415207,1117.99790417766,10331.5830066021
"54","chato",14103.3645334892,4641.2246515625,42856.1222731415
"55","mbozi",17247.0187881397,5675.64739397151,52409.8197845054
"56","mbeya rural",11755.6248031879,3868.14429582565,35726.3597075373
"57","kyela",8581.20510137486,2827.86528499562,26039.812215445
"58","mpanda urban",4239.05328520938,1385.84726073073,12966.4886340861
"59","ileje",4842.90457209471,1592.88878140326,14724.019007626
"60","korogwe urban",2765.13896209178,911.517641248512,8388.20131797473
"61","tunduru",11844.9449379606,3895.90297006952,36012.888837633
"62","sumbawanga urban",8671.62680212701,2855.03532927799,26338.4171201776
"63","songea urban",8419.86830534205,2764.16664286381,25647.578977313
"64","namtumbo",8034.75474327569,2641.36841934771,24440.8478997919
"65","mbeya urban",16280.8764610733,5191.02952820571,51062.4986624475
"66","nyang'hwale",6586.41385496023,2171.71440490585,19975.3924230625
"67","njombe urban",5611.73668424954,1850.35418295147,17019.2219973368
"68","pangani",2382.66046881924,724.57711431555,7835.01272329942
"69","ludewa",5667.40817652642,1866.75673114083,17206.0530992324
"70","tabora urban",10162.1094233484,3258.27223936258,31694.2417163733
"71","bukoba rural",13715.5428960237,4518.45663862662,41632.8255370498
"72","nyasa",7060.43470474892,2325.96153010759,21431.8842228302
"73","uvinza",18874.2546878511,6217.32025195513,57297.5937518811
"74","shinyanga urban",7788.98882584706,2495.57363968993,24310.3813745637
"75","bagamoyo",15391.7562264423,4617.06311429114,51311.007423947
"76","mkinga",5782.87679379354,1734.87291516681,19276.1462351728
"77","bukombe",10862.2567949911,3574.36815585707,33009.6446520178
"78","sengerema",33736.0196372152,11106.6956351566,102471.43330011
"79","rungwe",16747.7464022392,5512.57140824876,50881.3380873415
"80","dodoma urban",20940.9718926151,6796.42891790481,64522.75291985
"81","mbogwe",9689.61974582415,3187.62119377641,29454.1682060516
"82","kalambo",10303.303988128,3389.01949629572,31324.125809193
"83","kyerwa",17244.5367078346,5671.95608927211,52428.8343540432
"84","ngara",15950.603658335,5245.76650798017,48500.3967824816
"85","muleba",29179.9136530488,9592.27297221665,88765.96436169
"86","kilombero",22017.7686199043,7234.00746139425,67014.3260961201
"87","missenyi",11329.8171280961,3719.4371699631,34511.8764722602
"88","muheza",11034.4542681093,3623.01446603499,33607.1473455222
"89","mpanda rural",10838.8069389761,3553.41977801497,33061.035059028
"90","singida urban",8616.04041394123,2778.00032678238,26722.8738956459
"91","kibaha urban",7675.26940621471,2414.39479114898,24399.3901386529
"92","magu",16921.7300846219,5550.77449605197,51586.4856805953
"93","misungwi",20644.8267607568,6767.38469053855,62979.8498934958
"94","kahama urban",14589.098801578,4740.88043700604,44894.9950690211
"95","kilolo",12473.3145718738,4086.68758151039,38070.8271199479
"96","butiama",14249.5763647883,4665.4547150708,43522.1085567544
"97","wang'ing'ombe",9389.74062980905,3074.42674007801,28677.6158773748
"98","rorya",15976.0633980457,5217.95355262446,48914.694070054
"99","kasulu ",27719.0685365425,9068.00091067723,84731.6589512957
"100","sumbawanga rural",20427.3813347518,6670.67023719561,62554.120254458
"101","rombo",15544.3567910407,5080.90244965531,47555.9274048971
"102","tarime",20996.3300591056,6853.19892425547,64327.021705239
"103","lushoto",30562.1911865763,9985.05146028545,93544.5885121296
"104","songea rural",10908.1143467159,3557.93720337246,33442.6809130429
"105","babati urban",5851.50599924244,1891.8979406648,18098.2925786887
"106","kilindi",16143.8907735048,4640.1512215237,56167.3956007992
"107","biharamulo",23359.8134741148,7602.32168944041,71778.1893264769
"108","ulanga",17948.3243769457,5841.83874547296,55143.9986579057
"109","bunda",22972.5439463439,7462.81093259289,70715.6834245756
"110","handeni urban",5756.15291766292,1861.38729288244,17800.3237360727
"111","musoma",12826.0026410732,4154.76171124781,39594.6519155273
"112","kahama rural",37583.5911242923,12130.1499208983,116447.556791069
"113","gairo",14149.7169531784,4579.27808231459,43721.8457267976
"114","moshi",34089.4515163408,10941.4953146409,106209.496167306
"115","urambo",14726.3514593123,4748.87974382278,45666.6496104231
"116","karagwe",26089.2354856238,8417.58824355646,80860.2403123432
"117","shinyanga rural",25552.1645903014,8192.24866843459,79698.8887514584
"118","mpwapwa",23385.2691857049,7512.99059219313,72790.0305713335
"119","busega",16122.5179322947,5156.90776451974,50405.319688973
"120","hai",16965.5420383977,5405.35193825747,53249.0057898852
"121","iramba",21391.9872763965,6817.95616670752,67119.3988996413
"122","kongwa",25522.5316394687,8156.89584648321,79858.7641116601
"123","bariadi",34963.7205619636,11152.076872171,109617.407550841
"124","kwimba",34421.2241826319,10986.6435117973,107841.914863148
"125","handeni",24546.4668077662,7837.49721453521,76877.7348497595
"126","kisarawe",8641.72077723502,2749.33532826129,27162.6880955709
"127","mlele",24513.3917407695,7764.77482023404,77388.7702539084
"128","kaliua",36163.8182421927,11476.6461206584,113955.047154432
"129","maswa",29287.7971855385,9324.14201926628,91995.0663781005
"130","nkasi",25009.462195954,7934.70588748493,78827.52154902
"131","itilima",27498.4154522829,8749.17736386629,86426.7371592293
"132","bahi",19449.7296116119,6187.6147369227,61136.9644117421
"133","kilosa",39507.1300782066,12501.5927472865,124849.157908709
"134","momba",19185.7178988575,6020.37747091038,61140.9787962812
"135","kondoa",24078.9239846525,7631.23318138867,75976.5252191084
"136","mbarali",28062.6199746571,8818.61902981387,89300.9026900492
"137","chunya",27267.3168899753,8517.585357928,87290.7683497756
"138","siha",11008.0280641343,3477.25050804644,34848.418766598
"139","kishapu",24845.6428574486,7810.28740979738,79037.5483782484
"140","mvomero",29064.8276519372,9150.853845232,92315.3424504725
"141","korogwe",22936.5324773461,7243.51207341226,72628.3765047313
"142","arusha",31467.0171600545,9663.63944601311,102463.794772442
"143","meru",25742.3247371422,8037.50341235739,82446.90532307
"144","serengeti",25169.2448716459,7904.98153061365,80138.1869085399
"145","morogoro rural",27441.4591076083,8620.26469237351,87356.2129270534
"146","sikonge",17973.1722246545,5620.4768650672,57474.6462928872
"147","kibaha rural",7048.18440443616,2162.0276353135,22976.9974201712
"148","uyui",40133.4051558356,12522.0062042022,128628.766280432
"149","manyoni",30624.0902489249,9531.70411656245,98391.1053160684
"150","singida rural",22439.9765354923,7011.26406497047,71820.5080064355
"151","iringa rural",24396.4160519292,7609.11609906159,78220.0072163743
"152","chamwino",33261.6537295496,10392.8759539668,106451.536006469
"153","babati rural",32883.4028480245,10192.4962771226,106089.632359496
"154","chemba",24451.5202515365,7633.32051814198,78324.6086929451
"155","igunga",41874.2664684201,12838.7363548376,136575.294001388
"156","same",28586.25779109,8859.52502883308,92236.7882972491
"157","mwanga",13770.8553726899,4235.2307662374,44775.9444909813
"158","nzega",54143.0763359951,16583.751754272,176767.763927138
"159","ikungi",31398.7459807016,9616.56871570526,102519.025060419
"160","mkalama",20399.3232745003,6213.68083558849,66970.3515626672
"161","karatu",28147.4505325378,8505.84551479096,93145.2340750786
"162","meatu",37380.3162811064,11289.6133055448,123767.573561557
"163","hanang",35243.0995738002,10547.1411948013,117764.24005597
"164","mbulu",42843.5914543471,12756.9390404161,143888.226077714
"165","simanjiro",27416.3950474086,7551.60785746648,99536.2486483437
"166","longido",22639.0538053034,5844.14071901103,87699.249871272
"167","ngorongoro",32905.2057138287,8406.16630921635,128804.56122814
"168","monduli",32028.5668446417,8693.50148398435,117999.530570222
"169","kiteto",51210.8084839705,14159.1069642792,185219.79614944
